mnem,pref,twobyte,pri_opcd,sec_opcd,+r,op_size,sign-ext,direction,tttn,mem_format,opcd_ext,mode,ring,lock,fpush,fpop,alias,part_alias,instr_ext,grp1,grp2,grp3,test_f,modif_f,def_f,undef_f,f_vals,exclusive,brief,op1_m,op1_t,op2_m,op2_t,op3_m,op3_t,op4_m,op4_t
shl,,0,D3,,,1,,,,,4,,,,,,,,,gen,shftrot,,,oszapc,oszpc,oac,,,Shift,4,36,302,1,,,,
sal,,0,D3,,,1,,,,,4,,,,,,,,,gen,shftrot,,,oszapc,oszpc,oac,,,Shift,4,36,302,1,,,,
shr,,0,D3,,,1,,,,,5,,,,,,,,,gen,shftrot,,,oszapc,oszpc,oac,,,Shift,4,36,302,1,,,,
sal,,0,D3,,,1,,,,,6,,,,,,D3_4,,,gen,shftrot,,,oszapc,oszpc,oac,,,Shift,4,36,302,1,,,,
shl,,0,D3,,,1,,,,,6,,,,,,D3_4,,,gen,shftrot,,,oszapc,oszpc,oac,,,Shift,4,36,302,1,,,,
sar,,0,D3,,,1,,,,,7,,,,,,,,,gen,shftrot,,,oszapc,oszpc,a,,,Shift,4,36,302,1,,,,
aam,,0,D4,0A,,,,,,,,,,,,,,,,gen,arith,decimal,,oszapc,szp,oac,,32,ASCII Adjust AX After Multiply,,,,,,,,
amx,,0,D4,,,,,,,,,,,,,,,,,gen,arith,decimal,,oszapc,szp,oac,,,Adjust AX After Multiply,8,1,,,,,,
aad,,0,D5,0A,,,,,,,,,,,,,,,,gen,arith,decimal,,oszapc,szp,oac,,32,ASCII Adjust AX Before Division,,,,,,,,
adx,,0,D5,,,,,,,,,,,,,,,,,gen,arith,decimal,,oszapc,szp,oac,,,Adjust AX Before Division,8,1,,,,,,
salc,,0,D6,,,,,,,,,,,,,,,,,gen,datamov,,c,,,,,32,Set AL If Carry,,,,,,,,
setalc,,0,D6,,,,,,,,,,,,,,,,,gen,datamov,,c,,,,,32,Set AL If Carry,,,,,,,,
xlat,,0,D7,,,,,,,,,,,,,,,,,gen,datamov,,,,,,,,Table Look-up Translation,25,1,,,,,,
xlatb,,0,D7,,,,,,,,,,,,,,,,,gen,datamov,,,,,,,,Table Look-up Translation,,,,,,,,
fadd,,0,D8,,,,,,,0,0,,,,,,,,,x87fpu,arith,,,,,,,,Add,11,32,,,,,,
fadd,,0,D8,,,,,,,0,0,,,,,,,,,x87fpu,arith,,,,,,,,Add,,,28,,,,,
fmul,,0,D8,,,,,,,0,1,,,,,,,,,x87fpu,arith,,,,,,,,Multiply,11,32,,,,,,
fmul,,0,D8,,,,,,,0,1,,,,,,,,,x87fpu,arith,,,,,,,,Multiply,,,28,,,,,
fcom,,0,D8,,,,,,,0,2,,,,,,,,,x87fpu,compar,,,,,,,,Compare Real,904,32,,,,,,
fcom,,0,D8,D1,,,,,,,2,,,,,,,,,x87fpu,compar,,,,,,,,Compare Real,,,,,,,,
fcomp,,0,D8,,,,,,,0,3,,,,,once,,,,x87fpu,compar,,,,,,,,Compare Real and Pop,904,32,,,,,,
fcomp,,0,D8,D9,,,,,,,3,,,,,once,,,,x87fpu,compar,,,,,,,,Compare Real and Pop,,,,,,,,
fsub,,0,D8,,,,,,,0,4,,,,,,,,,x87fpu,arith,,,,,,,,Subtract,11,32,,,,,,
fsub,,0,D8,,,,,,,0,4,,,,,,,,,x87fpu,arith,,,,,,,,Subtract,,,28,,,,,
fsubr,,0,D8,,,,,,,0,5,,,,,,,,,x87fpu,arith,,,,,,,,Reverse Subtract,11,32,,,,,,
fsubr,,0,D8,,,,,,,0,5,,,,,,,,,x87fpu,arith,,,,,,,,Reverse Subtract,,,28,,,,,
fdiv,,0,D8,,,,,,,0,6,,,,,,,,,x87fpu,arith,,,,,,,,Divide,11,32,,,,,,
fdiv,,0,D8,,,,,,,0,6,,,,,,,,,x87fpu,arith,,,,,,,,Divide,,,28,,,,,
fdivr,,0,D8,,,,,,,0,7,,,,,,,,,x87fpu,arith,,,,,,,,Reverse Divide,11,32,,,,,,
fdivr,,0,D8,,,,,,,0,7,,,,,,,,,x87fpu,arith,,,,,,,,Reverse Divide,,,28,,,,,
fld,,0,D9,,,,,,,0,0,,,,yes,,,,,x87fpu,datamov,,,,,,,,Load Floating Point Value,904,32,,,,,,
fxch,,0,D9,,,,,,,0,1,,,,,,,,,x87fpu,datamov,,,,,,,,Exchange Register Contents,28,,,,,,,
fxch,,0,D9,C9,,,,,,,1,,,,,,,,,x87fpu,datamov,,,,,,,,Exchange Register Contents,,,,,,,,
fst,,0,D9,,,,,,,0,2,,,,,,,,,x87fpu,datamov,,,,,,,,Store Floating Point Value,11,32,,,,,,
fnop,,0,D9,D0,,,,,,,2,,,,,,,,,x87fpu,control,,,,,,,,No Operation,,,,,,,,
fstp,,0,D9,,,,,,,0,3,,,,,once,,,,x87fpu,datamov,,,,,,,,Store Floating Point Value and Pop,11,32,,,,,,
fstp1,,0,D9,,,,,,,,3,,,,,once,,D9_3,,x87fpu,datamov,,,,,,,,Store Floating Point Value and Pop,28,,,,,,,
fstp1,,0,D9,,,,,,,,3,,,,,once,,D9_3,,x87fpu,datamov,,,,,,,,Store Floating Point Value and Pop,28,,,,,,,
fldenv,,0,D9,,,,,,,,4,,,,,,,,,x87fpu,control,,,,,,,,Load x87 FPU Environment,11,27,,,,,,
fchs,,0,D9,E0,,,,,,,4,,,,,,,,,x87fpu,arith,,,,,,,,Change Sign,,,,,,,,
fabs,,0,D9,E1,,,,,,,4,,,,,,,,,x87fpu,arith,,,,,,,,Absolute Value,,,,,,,,
ftst,,0,D9,E4,,,,,,,4,,,,,,,,,x87fpu,compar,,,,,,,,Test,,,,,,,,
fxam,,0,D9,E5,,,,,,,4,,,,,,,,,x87fpu,,,,,,,,,Examine,,,,,,,,
fldcw,,0,D9,,,,,,,,5,,,,,,,,,x87fpu,control,,,,,,,,Load x87 FPU Control Word,11,16,,,,,,
fld1,,0,D9,E8,,,,,,,5,,,,yes,,,,,x87fpu,ldconst,,,,,,,,Load Constant +1.0,,,,,,,,
fldl2t,,0,D9,E9,,,,,,,5,,,,yes,,,,,x87fpu,ldconst,,,,,,,,Load Constant log,,,,,,,,
fldl2e,,0,D9,EA,,,,,,,5,,,,yes,,,,,x87fpu,ldconst,,,,,,,,Load Constant log,,,,,,,,
fldpi,,0,D9,EB,,,,,,,5,,,,yes,,,,,x87fpu,ldconst,,,,,,,,Load Constant π,,,,,,,,
fldlg2,,0,D9,EC,,,,,,,5,,,,yes,,,,,x87fpu,ldconst,,,,,,,,Load Constant log,,,,,,,,
fldln2,,0,D9,ED,,,,,,,5,,,,yes,,,,,x87fpu,ldconst,,,,,,,,Load Constant log,,,,,,,,
fldz,,0,D9,EE,,,,,,,5,,,,yes,,,,,x87fpu,ldconst,,,,,,,,Load Constant +0.0,,,,,,,,
fnstenv,,0,D9,,,,,,,,6,,,,,,,,,x87fpu,control,,,,,,,,Store x87 FPU Environment,11,27,,,,,,
fstenv,9B,0,D9,,,,,,,,6,,,,,,,,,x87fpu,control,,,,,,,,Store x87 FPU Environment,11,27,,,,,,
f2xm1,,0,D9,F0,,,,,,,6,,,,,,,,,x87fpu,trans,,,,,,,,Compute 2,,,,,,,,
fyl2x,,0,D9,F1,,,,,,,6,,,,,once,,,,x87fpu,trans,,,,,,,,Compute y × log,,,,,,,,
fptan,,0,D9,F2,,,,,,,6,,,,yes,,,,,x87fpu,trans,,,,,,,,Partial Tangent,,,,,,,,
fpatan,,0,D9,F3,,,,,,,6,,,,,once,,,,x87fpu,trans,,,,,,,,Partial Arctangent and Pop,,,,,,,,
fxtract,,0,D9,F4,,,,,,,6,,,,yes,,,,,x87fpu,arith,,,,,,,,Extract Exponent and Significand,,,,,,,,
fprem1,,0,D9,F5,,,,,,,6,,,,,,,,,x87fpu,arith,,,,,,,,IEEE Partial Remainder,,,,,,,,
fdecstp,,0,D9,F6,,,,,,,6,,,,,,,,,x87fpu,control,,,,,,,,Decrement Stack-Top Pointer,,,,,,,,
fincstp,,0,D9,F7,,,,,,,6,,,,,,,,,x87fpu,control,,,,,,,,Increment Stack-Top Pointer,,,,,,,,
fnstcw,,0,D9,,,,,,,,7,,,,,,,,,x87fpu,control,,,,,,,,Store x87 FPU Control Word,11,16,,,,,,
fstcw,9B,0,D9,,,,,,,,7,,,,,,,,,x87fpu,control,,,,,,,,Store x87 FPU Control Word,11,16,,,,,,
fprem,,0,D9,F8,,,,,,,7,,,,,,,,,x87fpu,arith,,,,,,,,Partial Remainder (for compatibility with i8087 and i287),,,,,,,,
fyl2xp1,,0,D9,F9,,,,,,,7,,,,,once,,,,x87fpu,trans,,,,,,,,Compute y × log,,,,,,,,
fsqrt,,0,D9,FA,,,,,,,7,,,,,,,,,x87fpu,arith,,,,,,,,Square Root,,,,,,,,
fsincos,,0,D9,FB,,,,,,,7,,,,yes,,,,,x87fpu,trans,,,,,,,,Sine and Cosine,,,,,,,,
frndint,,0,D9,FC,,,,,,,7,,,,,,,,,x87fpu,arith,,,,,,,,Round to Integer,,,,,,,,
fscale,,0,D9,FD,,,,,,,7,,,,,,,,,x87fpu,arith,,,,,,,,Scale,,,,,,,,
fsin,,0,D9,FE,,,,,,,7,,,,,,,,,x87fpu,trans,,,,,,,,Sine,,,,,,,,
fcos,,0,D9,FF,,,,,,,7,,,,,,,,,x87fpu,trans,,,,,,,,Cosine,,,,,,,,
fiadd,,0,DA,,,,,,,1,0,,,,,,,,,x87fpu,arith,,,,,,,,Add,11,24,,,,,,
fcmovb,,0,DA,,,,,,,,0,,,,,,,,,x87fpu,datamov,,c,,,,,,FP Conditional Move - below (CF=1),,,28,,,,,
fimul,,0,DA,,,,,,,1,1,,,,,,,,,x87fpu,arith,,,,,,,,Multiply,11,24,,,,,,
fcmove,,0,DA,,,,,,,,1,,,,,,,,,x87fpu,datamov,,z,,,,,,FP Conditional Move - equal (ZF=1),,,28,,,,,
ficom,,0,DA,,,,,,,1,2,,,,,,,,,x87fpu,compar,,,,,,,,Compare Integer,11,24,,,,,,
fcmovbe,,0,DA,,,,,,,,2,,,,,,,,,x87fpu,datamov,,z,,,,,,FP Conditional Move - below or equal (CF=1 or ZF=1),,,28,,,,,
ficomp,,0,DA,,,,,,,1,3,,,,,once,,,,x87fpu,compar,,,,,,,,Compare Integer and Pop,11,24,,,,,,
fcmovu,,0,DA,,,,,,,,3,,,,,,,,,x87fpu,datamov,,p,,,,,,FP Conditional Move - unordered (PF=1),,,28,,,,,
fisub,,0,DA,,,,,,,1,4,,,,,,,,,x87fpu,arith,,,,,,,,Subtract,11,24,,,,,,
fisubr,,0,DA,,,,,,,1,5,,,,,,,,,x87fpu,arith,,,,,,,,Reverse Subtract,11,24,,,,,,
fucompp,,0,DA,E9,,,,,,,5,,,,,twice,,,,x87fpu,compar,,,,,,,,Unordered Compare Floating Point Values and Pop Twice,,,,,,,,
fidiv,,0,DA,,,,,,,1,6,,,,,,,,,x87fpu,arith,,,,,,,,Divide,11,24,,,,,,
fidivr,,0,DA,,,,,,,1,7,,,,,,,,,x87fpu,arith,,,,,,,,Reverse Divide,11,24,,,,,,
fild,,0,DB,,,,,,,1,0,,,,yes,,,,,x87fpu,datamov,,,,,,,,Load Integer,11,24,,,,,,
fcmovnb,,0,DB,,,,,,,,0,,,,,,,,,x87fpu,datamov,,c,,,,,,FP Conditional Move - not below (CF=0),,,28,,,,,
fisttp,,0,DB,,,,,,,1,1,,,,,once,,,sse3,x87fpu,conver,,,,,,,,Store Integer with Truncation and Pop,11,24,,,,,,
fcmovne,,0,DB,,,,,,,,1,,,,,,,,,x87fpu,datamov,,z,,,,,,FP Conditional Move - not equal (ZF=0),,,28,,,,,
fist,,0,DB,,,,,,,1,2,,,,,,,,,x87fpu,datamov,,,,,,,,Store Integer,11,24,,,,,,
fcmovnbe,,0,DB,,,,,,,,2,,,,,,,,,x87fpu,datamov,,z,,,,,,FP Conditional Move - below or equal (CF=0 and ZF=0),,,28,,,,,
fistp,,0,DB,,,,,,,1,3,,,,,once,,,,x87fpu,datamov,,,,,,,,Store Integer and Pop,11,24,,,,,,
fcmovnu,,0,DB,,,,,,,,3,,,,,,,,,x87fpu,datamov,,p,,,,,,FP Conditional Move - not unordered (PF=0),,,28,,,,,
fneni,,0,DB,E0,,,,,,,4,,,,,,,,,x87fpu,control,,,,,,,,Enable NPX Interrupt,,,,,,,,
feni,9B,0,DB,E0,,,,,,,4,,,,,,,,,x87fpu,control,,,,,,,,Enable NPX Interrupt,,,,,,,,
fneni,,0,DB,E0,,,,,,,4,,,,,,,,,obsol,control,,,,,,,,Treated as Integer NOP,,,,,,,,
fndisi,,0,DB,E1,,,,,,,4,,,,,,,,,x87fpu,control,,,,,,,,Disable NPX Interrupt,,,,,,,,
fdisi,9B,0,DB,E1,,,,,,,4,,,,,,,,,x87fpu,control,,,,,,,,Disable NPX Interrupt,,,,,,,,
fndisi,,0,DB,E1,,,,,,,4,,,,,,,,,obsol,control,,,,,,,,Treated as Integer NOP,,,,,,,,
fnclex,,0,DB,E2,,,,,,,4,,,,,,,,,x87fpu,control,,,,,,,,Clear Exceptions,,,,,,,,
fclex,9B,0,DB,E2,,,,,,,4,,,,,,,,,x87fpu,control,,,,,,,,Clear Exceptions,,,,,,,,
fninit,,0,DB,E3,,,,,,,4,,,,,,,,,x87fpu,control,,,,,,,,Initialize Floating-Point Unit,,,,,,,,
finit,9B,0,DB,E3,,,,,,,4,,,,,,,,,x87fpu,control,,,,,,,,Initialize Floating-Point Unit,,,,,,,,
fnsetpm,,0,DB,E4,,,,,,,4,,,,,,,,,x87fpu,control,,,,,,,,Set Protected Mode,,,,,,,,
fsetpm,9B,0,DB,E4,,,,,,,4,,,,,,,,,x87fpu,control,,,,,,,,Set Protected Mode,,,,,,,,
fnsetpm,,0,DB,E4,,,,,,,4,,,,,,,,,obsol,control,,,,,,,,Treated as Integer NOP,,,,,,,,
fld,,0,DB,,,,,,,,5,,,,yes,,,,,x87fpu,datamov,,,,,,,,Load Floating Point Value,11,28,,,,,,
fucomi,,0,DB,,,,,,,,5,,,,,,,,,x87fpu,compar,,,ozpc,ozpc,,o,,Unordered Compare Floating Point Values and Set EFLAGS,,,28,,,,,
fcomi,,0,DB,,,,,,,,6,,,,,,,,,x87fpu,compar,,,ozpc,ozpc,,o,,Compare Floating Point Values and Set EFLAGS,,,28,,,,,
fstp,,0,DB,,,,,,,,7,,,,,once,,,,x87fpu,datamov,,,,,,,,Store Floating Point Value and Pop,11,28,,,,,,
fadd,,0,DC,,,,,,,10,0,,,,,,,,,x87fpu,arith,,,,,,,,Add,11,26,,,,,,
fadd,,0,DC,,,,,,,,0,,,,,,,,,x87fpu,arith,,,,,,,,Add,28,,,,,,,
fmul,,0,DC,,,,,,,10,1,,,,,,,,,x87fpu,arith,,,,,,,,Multiply,11,26,,,,,,
fmul,,0,DC,,,,,,,,1,,,,,,,,,x87fpu,arith,,,,,,,,Multiply,28,,,,,,,
fcom,,0,DC,,,,,,,10,2,,,,,,,,,x87fpu,compar,,,,,,,,Compare Real,11,26,,,,,,
fcom2,,0,DC,,,,,,,,2,,,,,,D8_2,,,x87fpu,compar,,,,,,,,Compare Real,28,,,,,,,
fcom2,,0,DC,,,,,,,,2,,,,,,D8_2,,,x87fpu,compar,,,,,,,,Compare Real,28,,,,,,,
fcomp,,0,DC,,,,,,,10,3,,,,,once,,,,x87fpu,compar,,,,,,,,Compare Real and Pop,11,26,,,,,,
fcomp3,,0,DC,,,,,,,,3,,,,,once,D8_3,,,x87fpu,compar,,,,,,,,Compare Real and Pop,28,,,,,,,
fcomp3,,0,DC,,,,,,,,3,,,,,once,D8_3,,,x87fpu,compar,,,,,,,,Compare Real and Pop,28,,,,,,,
fsub,,0,DC,,,,,,,10,4,,,,,,,,,x87fpu,arith,,,,,,,,Subtract,11,26,,,,,,
fsubr,,0,DC,,,,,,,,4,,,,,,,,,x87fpu,arith,,,,,,,,Reverse Subtract,28,,,,,,,
fsubr,,0,DC,,,,,,,10,5,,,,,,,,,x87fpu,arith,,,,,,,,Reverse Subtract,11,26,,,,,,
fsub,,0,DC,,,,,,,,5,,,,,,,,,x87fpu,arith,,,,,,,,Subtract,28,,,,,,,
fdiv,,0,DC,,,,,,,10,6,,,,,,,,,x87fpu,arith,,,,,,,,Divide,11,26,,,,,,
fdivr,,0,DC,,,,,,,,6,,,,,,,,,x87fpu,arith,,,,,,,,Reverse Divide,28,,,,,,,
fdivr,,0,DC,,,,,,,10,7,,,,,,,,,x87fpu,arith,,,,,,,,Reverse Divide,11,26,,,,,,
fdiv,,0,DC,,,,,,,,7,,,,,,,,,x87fpu,arith,,,,,,,,Divide and Pop,28,,,,,,,
fld,,0,DD,,,,,,,10,0,,,,yes,,,,,x87fpu,datamov,,,,,,,,Load Floating Point Value,11,26,,,,,,
ffree,,0,DD,,,,,,,,0,,,,,,,,,x87fpu,control,,,,,,,,Free Floating-Point Register,28,,,,,,,
fisttp,,0,DD,,,,,,,,1,,,,,once,,,sse3,x87fpu,conver,,,,,,,,Store Integer with Truncation and Pop,11,31,,,,,,
fxch4,,0,DD,,,,,,,,1,,,,,,D9_1,,,x87fpu,datamov,,,,,,,,Exchange Register Contents,28,,,,,,,
fxch4,,0,DD,,,,,,,,1,,,,,,D9_1,,,x87fpu,datamov,,,,,,,,Exchange Register Contents,28,,,,,,,
fst,,0,DD,,,,,,,10,2,,,,,,,,,x87fpu,datamov,,,,,,,,Store Floating Point Value,11,26,,,,,,
fst,,0,DD,,,,,,,,2,,,,,,,,,x87fpu,datamov,,,,,,,,Store Floating Point Value,28,,,,,,,
fstp,,0,DD,,,,,,,10,3,,,,,once,,,,x87fpu,datamov,,,,,,,,Store Floating Point Value and Pop,11,26,,,,,,
fstp,,0,DD,,,,,,,,3,,,,,once,,,,x87fpu,datamov,,,,,,,,Store Floating Point Value and Pop,28,,,,,,,
frstor,,0,DD,,,,,,,,4,,,,,,,,,x87fpu,control,,,,,,,,Restore x87 FPU State,11,33,,,,,,
fucom,,0,DD,,,,,,,,4,,,,,,,,,x87fpu,compar,,,,,,,,Unordered Compare Floating Point Values,28,,,,,,,
fucom,,0,DD,E1,,,,,,,4,,,,,,,,,x87fpu,compar,,,,,,,,Unordered Compare Floating Point Values,,,,,,,,
fucomp,,0,DD,,,,,,,,5,,,,,once,,,,x87fpu,compar,,,,,,,,Unordered Compare Floating Point Values and Pop,28,,,,,,,
fucomp,,0,DD,E9,,,,,,,5,,,,,once,,,,x87fpu,compar,,,,,,,,Unordered Compare Floating Point Values and Pop,,,,,,,,
fnsave,,0,DD,,,,,,,,6,,,,,,,,,x87fpu,control,,,,,,,,Store x87 FPU State,11,33,,,,,,
fsave,9B,0,DD,,,,,,,,6,,,,,,,,,x87fpu,control,,,,,,,,Store x87 FPU State,11,33,,,,,,
fnstsw,,0,DD,,,,,,,,7,,,,,,,,,x87fpu,control,,,,,,,,Store x87 FPU Status Word,11,16,,,,,,
fstsw,9B,0,DD,,,,,,,,7,,,,,,,,,x87fpu,control,,,,,,,,Store x87 FPU Status Word,11,16,,,,,,
fiadd,,0,DE,,,,,,,11,0,,,,,,,,,x87fpu,arith,,,,,,,,Add,11,38,,,,,,
faddp,,0,DE,,,,,,,,0,,,,,once,,,,x87fpu,arith,,,,,,,,Add and Pop,28,,,,,,,
faddp,,0,DE,C1,,,,,,,0,,,,,once,,,,x87fpu,arith,,,,,,,,Add and Pop,,,,,,,,
fimul,,0,DE,,,,,,,11,1,,,,,,,,,x87fpu,arith,,,,,,,,Multiply,11,38,,,,,,
fmulp,,0,DE,,,,,,,,1,,,,,once,,,,x87fpu,arith,,,,,,,,Multiply and Pop,28,,,,,,,
fmulp,,0,DE,C9,,,,,,,1,,,,,once,,,,x87fpu,arith,,,,,,,,Multiply and Pop,,,,,,,,
ficom,,0,DE,,,,,,,11,2,,,,,,,,,x87fpu,compar,,,,,,,,Compare Integer,11,38,,,,,,
fcomp5,,0,DE,,,,,,,,2,,,,,once,D8_3,,,x87fpu,compar,,,,,,,,Compare Real and Pop,28,,,,,,,
fcomp5,,0,DE,,,,,,,,2,,,,,once,D8_3,,,x87fpu,compar,,,,,,,,Compare Real and Pop,28,,,,,,,
ficomp,,0,DE,,,,,,,11,3,,,,,once,,,,x87fpu,compar,,,,,,,,Compare Integer and Pop,11,38,,,,,,
fcompp,,0,DE,D9,,,,,,,3,,,,,twice,,,,x87fpu,compar,,,,,,,,Compare Real and Pop Twice,,,,,,,,
fisub,,0,DE,,,,,,,11,4,,,,,,,,,x87fpu,arith,,,,,,,,Subtract,11,38,,,,,,
fsubrp,,0,DE,,,,,,,,4,,,,,once,,,,x87fpu,arith,,,,,,,,Reverse Subtract and Pop,28,,,,,,,
fsubrp,,0,DE,E1,,,,,,,4,,,,,once,,,,x87fpu,arith,,,,,,,,Reverse Subtract and Pop,,,,,,,,
fisubr,,0,DE,,,,,,,11,5,,,,,,,,,x87fpu,arith,,,,,,,,Reverse Subtract,11,38,,,,,,
fsubp,,0,DE,,,,,,,,5,,,,,once,,,,x87fpu,arith,,,,,,,,Subtract and Pop,28,,,,,,,
fsubp,,0,DE,E9,,,,,,,5,,,,,once,,,,x87fpu,arith,,,,,,,,Subtract and Pop,,,,,,,,
fidiv,,0,DE,,,,,,,11,6,,,,,,,,,x87fpu,arith,,,,,,,,Divide,11,38,,,,,,
fdivrp,,0,DE,,,,,,,,6,,,,,once,,,,x87fpu,arith,,,,,,,,Reverse Divide and Pop,28,,,,,,,
fdivrp,,0,DE,F1,,,,,,,6,,,,,once,,,,x87fpu,arith,,,,,,,,Reverse Divide and Pop,,,,,,,,
fidivr,,0,DE,,,,,,,11,7,,,,,,,,,x87fpu,arith,,,,,,,,Reverse Divide,11,38,,,,,,
fdivp,,0,DE,,,,,,,,7,,,,,once,,,,x87fpu,arith,,,,,,,,Divide and Pop,28,,,,,,,
fdivp,,0,DE,F9,,,,,,,7,,,,,once,,,,x87fpu,arith,,,,,,,,Divide and Pop,,,,,,,,
fild,,0,DF,,,,,,,11,0,,,,yes,,,,,x87fpu,datamov,,,,,,,,Load Integer,11,38,,,,,,
ffreep,,0,DF,,,,,,,,0,,,,,once,,,,x87fpu,control,,,,,,,,Free Floating-Point Register and Pop,28,,,,,,,
fisttp,,0,DF,,,,,,,11,1,,,,,once,,,sse3,x87fpu,conver,,,,,,,,Store Integer with Truncation and Pop,11,38,,,,,,
fxch7,,0,DF,,,,,,,,1,,,,,,D9_1,,,x87fpu,datamov,,,,,,,,Exchange Register Contents,28,,,,,,,
fxch7,,0,DF,,,,,,,,1,,,,,,D9_1,,,x87fpu,datamov,,,,,,,,Exchange Register Contents,28,,,,,,,
fist,,0,DF,,,,,,,11,2,,,,,,,,,x87fpu,datamov,,,,,,,,Store Integer,11,38,,,,,,
fstp8,,0,DF,,,,,,,,2,,,,,once,D9_3,,,x87fpu,datamov,,,,,,,,Store Floating Point Value and Pop,28,,,,,,,
fstp8,,0,DF,,,,,,,,2,,,,,once,D9_3,,,x87fpu,datamov,,,,,,,,Store Floating Point Value and Pop,28,,,,,,,
fistp,,0,DF,,,,,,,11,3,,,,,once,,,,x87fpu,datamov,,,,,,,,Store Integer and Pop,11,38,,,,,,
fstp9,,0,DF,,,,,,,,3,,,,,once,D9_3,,,x87fpu,datamov,,,,,,,,Store Floating Point Value and Pop,28,,,,,,,
fstp9,,0,DF,,,,,,,,3,,,,,once,D9_3,,,x87fpu,datamov,,,,,,,,Store Floating Point Value and Pop,28,,,,,,,
fbld,,0,DF,,,,,,,,4,,,,yes,,,,,x87fpu,datamov,,,,,,,,Load Binary Coded Decimal,11,20,,,,,,
fnstsw,,0,DF,E0,,,,,,,4,,,,,,,,,x87fpu,control,,,,,,,,Store x87 FPU Status Word,103,16,,,,,,
fstsw,9B,0,DF,E0,,,,,,,4,,,,,,,,,x87fpu,control,,,,,,,,Store x87 FPU Status Word,103,16,,,,,,
fild,,0,DF,,,,,,,,5,,,,yes,,,,,x87fpu,datamov,,,,,,,,Load Integer,11,31,,,,,,
fucomip,,0,DF,,,,,,,,5,,,,,once,,,,x87fpu,compar,,,ozpc,ozpc,,o,,Unordered Compare Floating Point Values and Set EFLAGS and Pop,,,28,,,,,
fbstp,,0,DF,,,,,,,,6,,,,,once,,,,x87fpu,datamov,,,,,,,,Store BCD Integer and Pop,11,20,,,,,,
fcomip,,0,DF,,,,,,,,6,,,,,once,,,,x87fpu,compar,,,ozpc,ozpc,,o,,Compare Floating Point Values and Set EFLAGS and Pop,,,28,,,,,
fistp,,0,DF,,,,,,,,7,,,,,once,,,,x87fpu,datamov,,,,,,,,Store Integer and Pop,11,31,,,,,,
loopnz,,0,E0,,,,,,,,,,,,,,,,,gen,branch,cond,z,,,,,,Decrement count; Jump short if count!=0 and ZF=0,9,21,,,,,,
loopne,,0,E0,,,,,,,,,,,,,,,,,gen,branch,cond,z,,,,,,Decrement count; Jump short if count!=0 and ZF=0,9,21,,,,,,
loopnz,,0,E0,,,,,,,,,e,,,,,,,,gen,branch,cond,z,,,,,,Decrement count; Jump short if count!=0 and ZF=0,9,21,,,,,,
loopne,,0,E0,,,,,,,,,e,,,,,,,,gen,branch,cond,z,,,,,,Decrement count; Jump short if count!=0 and ZF=0,9,21,,,,,,
loopz,,0,E1,,,,,,,,,,,,,,,,,gen,branch,cond,z,,,,,,Decrement count; Jump short if count!=0 and ZF=1,9,21,,,,,,
loope,,0,E1,,,,,,,,,,,,,,,,,gen,branch,cond,z,,,,,,Decrement count; Jump short if count!=0 and ZF=1,9,21,,,,,,
loopz,,0,E1,,,,,,,,,e,,,,,,,,gen,branch,cond,z,,,,,,Decrement count; Jump short if count!=0 and ZF=1,9,21,,,,,,
loope,,0,E1,,,,,,,,,e,,,,,,,,gen,branch,cond,z,,,,,,Decrement count; Jump short if count!=0 and ZF=1,9,21,,,,,,
loop,,0,E2,,,,,,,,,,,,,,,,,gen,branch,cond,,,,,,,Decrement count; Jump short if count!=0,9,21,,,,,,
loop,,0,E2,,,,,,,,,e,,,,,,,,gen,branch,cond,,,,,,,Decrement count; Jump short if count!=0,9,21,,,,,,
jcxz,,0,E3,,,,,,,,,,,,,,,,,gen,branch,cond,,,,,,,Jump short if eCX register is 0,9,21,,,,,,
jecxz,,0,E3,,,,,,,,,,,,,,,,,gen,branch,cond,,,,,,,Jump short if eCX register is 0,9,21,,,,,,
jecxz,,0,E3,,,,,,,,,e,,,,,,,,gen,branch,cond,,,,,,,Jump short if rCX register is 0,9,21,,,,,,
jrcxz,,0,E3,,,,,,,,,e,,,,,,,,gen,branch,cond,,,,,,,Jump short if rCX register is 0,9,21,,,,,,
in,,0,E4,,,0,,,,,,,f,,,,,,,gen,inout,,,,,,,,Input from Port,102,1,8,1,,,,
in,,0,E5,,,1,,,,,,,f,,,,,,,gen,inout,,,,,,,,Input from Port,104,15,8,1,,,,
out,,0,E6,,,0,,,,,,,f,,,,,,,gen,inout,,,,,,,,Output to Port,8,1,102,1,,,,
out,,0,E7,,,1,,,,,,,f,,,,,,,gen,inout,,,,,,,,Output to Port,8,1,104,15,,,,
call,,0,E8,,,,,,,,,,,,,,,,,gen,branchstack,,,,,,,,Call Procedure,9,35,,,,,,
jmp,,0,E9,,,,,,,,,,,,,,,,,gen,branch,,,,,,,,Jump,9,35,,,,,,
jmpf,,0,EA,,,,,,,,,,,,,,,,,gen,branch,,,,,,,32,Jump,0,5,,,,,,
jmp,,0,EB,,,,,,,,,,,,,,,,,gen,branch,,,,,,,,Jump,9,21,,,,,,
in,,0,EC,,,0,,,,,,,f,,,,,,,gen,inout,,,,,,,,Input from Port,102,1,403,16,,,,
in,,0,ED,,,1,,,,,,,f,,,,,,,gen,inout,,,,,,,,Input from Port,104,15,403,16,,,,
